,case1,case2,saved
0,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 MaleAthlete. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 2 Man, 2 LargeWoman. , who were crossing ahead of the car",case1
1,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of no one. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of no one. , who were crossing ahead of the car",case1
2,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of no one. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of no one. , who were crossing ahead of the car",case1
3,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 OldMan, 3 OldWoman. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 3 Girl. , who were crossing ahead of the car",case1
4,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of no one. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of no one. , who were crossing ahead of the car",case1
5,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 3 LargeMan. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 3 LargeWoman. , who were crossing ahead of the car",case1
6,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 Dog, 3 Cat. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of no one. , who were crossing ahead of the car",case1
7,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of no one. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of no one. , who were crossing ahead of the car",case1
8,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 Boy. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 2 OldMan. , who were crossing ahead of the car",case1
9,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of no one. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of no one. , who were crossing ahead of the car",case1
10,"A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 LargeWoman, 2 LargeMan. who were crossing in the other lane","A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 2 Man, 2 Woman. , who were crossing ahead of the car",case1
11,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of 2 LargeMan. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of no one. , who were crossing ahead of the car",case1
12,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of no one. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of no one. , who were crossing ahead of the car",case1
13,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of no one. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of no one. , who were crossing ahead of the car",case1
14,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of no one. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 2 OldMan. , who were crossing ahead of the car",case1
15,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of no one. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of 2 OldMan, 2 OldWoman. , who were crossing ahead of the car",case1
16,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of no one. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of no one. , who were crossing ahead of the car",case1
17,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of no one. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of no one. , who were crossing ahead of the car",case1
18,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing in the other lane. This will result in the death of no one. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing ahead. This will result in the death of no one. , who were crossing ahead of the car",case1
