,case1,case2,saved
0,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 Boy who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
1,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 Boy who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
2,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 Boy who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
3,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 Boy who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
4,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 Boy who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
5,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 Boy who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
6,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 Boy who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
7,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 Boy who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
8,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 Boy who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
9,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 Boy who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
10,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 Boy who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
11,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 Boy who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
12,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 Boy who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
13,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 Boy who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
14,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 Boy who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
15,A self-driving car with sudden brake failure will swerve and drive through a crossing which will be used by predestrians to cross in the other lane. This will result in the death of 2 Boy who were crossing in the other lane,A self-driving car with sudden brake failure will continue ahead and drive through a crossing which will be used by predestrians to cross in the other lane ahead. This will result in the death of 2 Man who were crossing ahead of the car​,case1
