,Unnamed: 0,case1,case2,saved
0,428,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross in the other lane. This will result in the death of 2 Man. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 MaleAthlete. , who were crossing ahead of the car",case1
1,572,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross in the other lane. This will result in the death of 2 Man. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 MaleAthlete. , who were crossing ahead of the car",case2
2,718,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross in the other lane. This will result in the death of 2 Man. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 MaleAthlete. , who were crossing ahead of the car",case1
3,741,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross in the other lane. This will result in the death of 2 Man. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 MaleAthlete. , who were crossing ahead of the car",case1
4,891,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross in the other lane. This will result in the death of 2 Man. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 MaleAthlete. , who were crossing ahead of the car",case2
5,963,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross in the other lane. This will result in the death of 2 Man. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 MaleAthlete. , who were crossing ahead of the car",case2
6,1051,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross in the other lane. This will result in the death of 2 Man. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 MaleAthlete. , who were crossing ahead of the car",case1
7,1665,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross in the other lane. This will result in the death of 2 Man. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 MaleAthlete. , who were crossing ahead of the car",case2
8,1914,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross in the other lane. This will result in the death of 2 Man. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 MaleAthlete. , who were crossing ahead of the car",case2
9,1971,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross in the other lane. This will result in the death of 2 Man. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 MaleAthlete. , who were crossing ahead of the car",case1
10,2136,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross in the other lane. This will result in the death of 2 Man. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 MaleAthlete. , who were crossing ahead of the car",case2
11,2242,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross in the other lane. This will result in the death of 2 Man. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 MaleAthlete. , who were crossing ahead of the car",case1
12,2856,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross in the other lane. This will result in the death of 2 Man. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 MaleAthlete. , who were crossing ahead of the car",case2
13,3118,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross in the other lane. This will result in the death of 2 Man. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 MaleAthlete. , who were crossing ahead of the car",case1
14,3329,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross in the other lane. This will result in the death of 2 Man. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 MaleAthlete. , who were crossing ahead of the car",case2
15,3511,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross in the other lane. This will result in the death of 2 Man. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 MaleAthlete. , who were crossing ahead of the car",case1
16,4087,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross in the other lane. This will result in the death of 2 Man. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 MaleAthlete. , who were crossing ahead of the car",case2
17,4285,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross in the other lane. This will result in the death of 2 Man. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 MaleAthlete. , who were crossing ahead of the car",case2
18,4290,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross in the other lane. This will result in the death of 2 Man. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 MaleAthlete. , who were crossing ahead of the car",case2
19,4594,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross in the other lane. This will result in the death of 2 Man. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 MaleAthlete. , who were crossing ahead of the car",case1
20,4641,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross in the other lane. This will result in the death of 2 Man. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 MaleAthlete. , who were crossing ahead of the car",case2
21,5072,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross in the other lane. This will result in the death of 2 Man. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 MaleAthlete. , who were crossing ahead of the car",case2
22,5209,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross in the other lane. This will result in the death of 2 Man. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 MaleAthlete. , who were crossing ahead of the car",case2
23,5715,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross in the other lane. This will result in the death of 2 Man. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 MaleAthlete. , who were crossing ahead of the car",case1
24,5948,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross in the other lane. This will result in the death of 2 Man. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 MaleAthlete. , who were crossing ahead of the car",case2
25,6057,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross in the other lane. This will result in the death of 2 Man. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 MaleAthlete. , who were crossing ahead of the car",case2
26,6180,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross in the other lane. This will result in the death of 2 Man. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 MaleAthlete. , who were crossing ahead of the car",case2
27,6247,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross in the other lane. This will result in the death of 2 Man. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 MaleAthlete. , who were crossing ahead of the car",case1
28,6628,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross in the other lane. This will result in the death of 2 Man. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 MaleAthlete. , who were crossing ahead of the car",case2
29,6802,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross in the other lane. This will result in the death of 2 Man. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 MaleAthlete. , who were crossing ahead of the car",case1
30,6805,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross in the other lane. This will result in the death of 2 Man. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 MaleAthlete. , who were crossing ahead of the car",case2
31,6894,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross in the other lane. This will result in the death of 2 Man. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 MaleAthlete. , who were crossing ahead of the car",case1
32,7012,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross in the other lane. This will result in the death of 2 Man. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 MaleAthlete. , who were crossing ahead of the car",case2
33,7060,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross in the other lane. This will result in the death of 2 Man. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 MaleAthlete. , who were crossing ahead of the car",case2
34,7262,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross in the other lane. This will result in the death of 2 Man. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 MaleAthlete. , who were crossing ahead of the car",case2
35,7293,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross in the other lane. This will result in the death of 2 Man. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 MaleAthlete. , who were crossing ahead of the car",case2
36,7498,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross in the other lane. This will result in the death of 2 Man. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 MaleAthlete. , who were crossing ahead of the car",case2
37,7738,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross in the other lane. This will result in the death of 2 Man. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 MaleAthlete. , who were crossing ahead of the car",case1
38,7960,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross in the other lane. This will result in the death of 2 Man. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 MaleAthlete. , who were crossing ahead of the car",case1
39,8008,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross in the other lane. This will result in the death of 2 Man. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 MaleAthlete. , who were crossing ahead of the car",case2
40,8279,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross in the other lane. This will result in the death of 2 Man. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 MaleAthlete. , who were crossing ahead of the car",case1
41,8717,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross in the other lane. This will result in the death of 2 Man. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 MaleAthlete. , who were crossing ahead of the car",case2
42,8852,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross in the other lane. This will result in the death of 2 Man. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 MaleAthlete. , who were crossing ahead of the car",case2
43,8917,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross in the other lane. This will result in the death of 2 Man. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 MaleAthlete. , who were crossing ahead of the car",case2
44,8989,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross in the other lane. This will result in the death of 2 Man. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 MaleAthlete. , who were crossing ahead of the car",case1
45,9076,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross in the other lane. This will result in the death of 2 Man. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 MaleAthlete. , who were crossing ahead of the car",case2
46,9196,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross in the other lane. This will result in the death of 2 Man. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 MaleAthlete. , who were crossing ahead of the car",case2
47,9812,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross in the other lane. This will result in the death of 2 Man. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 MaleAthlete. , who were crossing ahead of the car",case1
48,9890,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross in the other lane. This will result in the death of 2 Man. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 MaleAthlete. , who were crossing ahead of the car",case2
49,9955,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross in the other lane. This will result in the death of 2 Man. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 MaleAthlete. , who were crossing ahead of the car",case2
50,10215,A self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross in the other lane. This will result in the death of 2 Man. who were crossing in the other lane,"A self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing which is a designated area on the road where pedestrians are allowed to cross, ahead. This will result in the death of 2 MaleAthlete. , who were crossing ahead of the car",case1
